Player,Position,Team,Opponent,Date,Time,Market Name,Site,Line,Average Line Variance,PrizePicks Line,Underdog Line,Sleeper Line,RTSports Line,FanDuel Line,DraftKings Line,BetMGM Line,BetRivers Line,DraftKings Pick6 Line,Caesars Line,Hard Rock Line,file_name
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,36.5,0,36.5,36.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB,prizepicks,32.5,-,32.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,15.5,1,14.5,-,15.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,6.5,-,6.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,underdog,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,3PT Made,underdog,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,3PT Made,prizepicks,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+AST,prizepicks,9.5,-,9.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,22.5,0,22.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+AST,prizepicks,26.5,-,26.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,0.5,0,22.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,underdog,22.5,0,22.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,22.5,0,22.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,14.5,-,14.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,underdog,4.5,-,-,4.5,4.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,sleeper,4.5,-,-,4.5,4.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+AST,prizepicks,16.5,-,16.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,19.5,0,19.5,19.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,19.5,0,19.5,19.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,4.5,-,4.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Assists,underdog,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Assists,prizepicks,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,14.5,1,14.5,-,15.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Assists,underdog,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Assists,prizepicks,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Steals,prizepicks,0.5,-,0.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,underdog,10.5,-,-,10.5,10.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB,prizepicks,17.5,-,17.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Assists,underdog,4.5,0,4.5,4.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Assists,prizepicks,4.5,0,4.5,4.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,sleeper,10.5,-,-,10.5,10.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_104912.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,0.5,22,0.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,0.5,1,21.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,21.5,1,21.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,17.5,-,17.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB,prizepicks,31.5,-,31.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,9.5,0,9.5,9.5,9.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,underdog,9.5,0,9.5,9.5,9.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,9.5,0,9.5,9.5,9.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,14.5,0,14.5,14.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,14.5,0,14.5,14.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,36.5,0,36.5,36.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,36.5,0,36.5,36.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,15.5,1,14.5,-,15.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,6.5,-,6.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,underdog,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,3PT Made,underdog,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,3PT Made,prizepicks,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+AST,prizepicks,9.5,-,9.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,14.5,-,14.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,underdog,4.5,-,-,4.5,4.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,sleeper,4.5,-,-,4.5,4.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+AST,prizepicks,16.5,-,16.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,19.5,0,19.5,19.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,19.5,0,19.5,19.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,4.5,-,4.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Assists,underdog,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Assists,prizepicks,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,14.5,1,14.5,-,15.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Assists,underdog,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Assists,prizepicks,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Steals,prizepicks,0.5,-,0.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,22.5,1,21.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,underdog,10.5,-,-,10.5,10.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,underdog,22.5,1,21.5,22.5,22.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB,prizepicks,17.5,-,17.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Assists,underdog,4.5,0,4.5,4.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Assists,prizepicks,4.5,0,4.5,4.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,sleeper,10.5,-,-,10.5,10.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_110026.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,0.5,22,0.5,22.5,22.5,-,-,-,-,-,22.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,0.5,1,21.5,22.5,22.5,-,-,-,-,-,22.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,21.5,1,21.5,22.5,22.5,-,-,-,-,-,22.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB,prizepicks,31.5,-,31.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,9.5,0,9.5,9.5,9.5,-,-,-,-,-,9.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,underdog,9.5,0,9.5,9.5,9.5,-,-,-,-,-,9.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,9.5,0,9.5,9.5,9.5,-,-,-,-,-,9.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cayden Boozer,G,Duke,Siena,2026-03-19,18:50:00,Points,pick6,9.5,0,9.5,9.5,9.5,-,-,-,-,-,9.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,14.5,0,14.5,14.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,14.5,0,14.5,14.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,36.5,0,36.5,36.5,-,-,-,-,-,-,36.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,36.5,0,36.5,36.5,-,-,-,-,-,-,36.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,pick6,36.5,0,36.5,36.5,-,-,-,-,-,-,36.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,15.5,1,14.5,-,15.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,6.5,-,6.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,underdog,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,8.5,0,8.5,8.5,8.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,3PT Made,underdog,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,3PT Made,prizepicks,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,PTS+AST,prizepicks,9.5,-,9.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,14.5,-,14.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,underdog,4.5,-,-,4.5,4.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Rebounds,sleeper,4.5,-,-,4.5,4.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+AST,prizepicks,16.5,-,16.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,underdog,19.5,0,19.5,19.5,-,-,-,-,-,-,19.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,prizepicks,19.5,0,19.5,19.5,-,-,-,-,-,-,19.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,PTS+REB+AST,pick6,19.5,0,19.5,19.5,-,-,-,-,-,-,19.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,REB+AST,prizepicks,4.5,-,4.5,-,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Assists,underdog,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Dame Sarr,F,Duke,Siena,2026-03-19,18:50:00,Assists,prizepicks,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Isaiah Evans,G,Duke,Siena,2026-03-19,18:50:00,Points,prizepicks,14.5,1,14.5,-,15.5,-,-,-,-,-,-,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
Cameron Boozer,F,Duke,Siena,2026-03-19,18:50:00,Points,sleeper,22.5,1,21.5,22.5,22.5,-,-,-,-,-,22.5,-,-,../data/rotowire_subscription/lines/2026-03-16/rotowire_lines_2026-03-16_125611.csv
